Drug Name,Sheet Name,Match Type/Score,Matched Product
CLAVULIN SUSP 228MG/5ML 70ML,GSK Warehouse,81.25,Clavulin 228mg susp
VITADOX VITAMIN C GUMMIES 30'S,GSK Warehouse,81.3559322,Vitadox multivitamin gummies Boys(Blue)
COLGATE T/P TOTAL ADV WHITE 75ML,Warehouse 2 Syrup&Tab,81.3559322,Colgate TP Optic White 75ml (100g)
STAMLO TABS 10MG,Warehouse 2 Syrup&Tab,81.48148148,Stamlo 10mg Tabs 20'S
NORVASC TABS 5MG,Pzifer,81.48148148,Norvasc 5mg Tabs 30'S
LYRICA CAPS 75MG,Pzifer,81.48148148,Lyrica 75mg Caps 28's
LOZATY LOZ. STRAWBERRY 16'S,Warehouse 1,81.48148148,Lozaty lozenges Strawberry sugar free
GLUCO NAF PINEAPPLE 400G,Warehouse 2 Syrup&Tab,81.48148148,Gluco Naf P 400g
GELOFUSINE INFUSION 500ML BB,Warehouse 3,81.48148148,Gelofusine 500ml
GALVUSMET TAB 50/500MG 60'S,Pzifer,81.48148148,Galvus Met 50mg/1000mg 60'S
FREE-FLEX ULTRA CAPS 60'S,Warehouse 2 Syrup&Tab,81.48148148,Man-Up Caps 60's
FEBUDAY TAB 80MG,Pzifer,81.48148148,Febuday 40mg Tab
ABC IBUPROFEN PARACETAMOL SUSP,Warehouse 4,81.48148148,Cetapol PM Susp
ZUBES COUGH MIXTURE (EXTRA STRONG) 125ML,Warehouse 4,81.63265306,Zubes Cough Mixture 125ml L/S
ACTIFED MULTIACTION TABS 12'S,UK warehouse ,81.63265306,Actifed Multiaction Dry- Syrup
PREGNANCY TEST CASETTE,Tena Warehouse ,81.81818182,Pregnancy test kit cassette
PIKOVIT MULTIVITAMIN SYR.,Warehouse 4,81.81818182,Apetamin Syr
PERMOXYL CAPS 500MG (AMOXYCILLIN),Warehouse 2 Syrup&Tab,81.81818182,Permoxyl Susp
IMMUNACE 30'S UK ORIGINAL,UK warehouse ,81.81818182,Immunace Caps
FLUCLOXACILLIN INJ. 1G 1'S,Warehouse 3,81.81818182,Cloxacillin Inj. 500mg
DREZ OINT 30G,Pzifer,81.81818182,Drez Ointment 10gm
DREZ OINT 10G,Pzifer,81.81818182,Drez Ointment 10gm
DIAMICRON MR TABS 60MG 30'S,Pzifer,81.81818182,Diamicron 60mg Tabs 30's
CLEAR INHALER,Warehouse 3,81.81818182,Salbutamol inhaler
CATAFLAM TABS 50MG 20'S,UK warehouse ,81.81818182,Levetiracetam Tabs 500mg 60's
ADRENALINE 1% INJ. 1'S,Warehouse 3,81.81818182,Adrenaline HCL 1% Inj 1mg/1ml
ADOM W&G BITTERS,Pzifer,81.81818182,Adom W&G Caps
ACCU-CHEK INSTANT TEST STRIPS / KIT (PROMO) 3'S,UK warehouse ,81.81818182,Accu check instants strip
SEBAMED NOURISHING BODY MILK 200ML,Warehouse 4,82.05128205,Sebamed Body Milk 200ml
RELESTAT EYE DROP 5ML,Pzifer,82.05128205,Betagan Eye Drops 5ml
LISINOPRIL TABS 20MG UK,UK warehouse ,82.05128205,Lisinopril 20mg + HCT 12.5mg Tabs 28's
LISINOPRIL TABS 10MG UK,UK warehouse ,82.05128205,Lisinopril 10mg Tabs 28's
LEVOBACT TAB 750MG 10'S,Warehouse 2 Syrup&Tab,82.05128205,Enacef Tab 250mg 10's
ADVIL 200MG TABS 50'S,Pzifer,82.05128205,Plendil 10mg Tabs 30's
CO-CODAMOL CAPLET 30/500MG 100'S,UK warehouse ,82.14285714,Co-Codamol Caps 30/500 100's
TANZOL TAB,Warehouse 3,82.35294118,Zental tab
STOPKOF JUNIOR EXPECTORANT 100ML,Warehouse 4,82.35294118,NCP 100ml
RAMIPRIL TABS 5MG,UK warehouse ,82.35294118,Enalapril Tabs 5mg 28's
PERMANET MOSQUITOE NET (CIRCULAR QUEEN),Warehouse 2 Syrup&Tab,82.35294118,Permanet Mos (Circular Queen)
PARAMOL SUPP 125MG,Warehouse 4,82.35294118,Paramol Syr 125ml Jacket
OSTEOCARE SYRUP 200ML (INDIA),Warehouse 2 Syrup&Tab,82.35294118,Evecare Syr 200ml
MAXITROL EYE OINT. 3.5GM,Pzifer,82.35294118,Dexatrol Eye Oint
LIGNOCAINE WITH ADRENALINE INJ 2% 20ML,Warehouse 3,82.35294118,Lignociane with Adren Inj 2% 50mls
LEMSIP COLD & FLU SATCHETS 5'S,UK warehouse ,82.35294118,Lemsip 5's
GAMALATE B6 SYR 80ML,Warehouse 4,82.35294118,Gamalate Syr 80ml
FLUCLOXACILLIN CAPS 250MG (ESKAY),UK warehouse ,82.35294118,Flucloxacillin 250mg Caps 28's
FIESTA CONDOMS-STRAWBERRY 3'S,Warehouse 2 Syrup&Tab,82.35294118,Fiesta Gel
FIESTA CONDOMS-DUMSOR 3'S,Warehouse 2 Syrup&Tab,82.35294118,Fiesta Gel
FIESTA CONDOMS-ALL NIGHT 3'S,Warehouse 2 Syrup&Tab,82.35294118,Fiesta Gel
FIESTA CONDOMS - FRUITY 3'S,Warehouse 2 Syrup&Tab,82.35294118,Fiesta Gel
FIESTA CONDOMS - EXTRA THIN 3'S,Warehouse 2 Syrup&Tab,82.35294118,Fiesta Gel
FIESTA CONDOMS - DOTTED 3'S,Warehouse 2 Syrup&Tab,82.35294118,Fiesta Gel
FIESTA CONDOMS - CLASSIC 3'S,Warehouse 2 Syrup&Tab,82.35294118,Fiesta Gel
DICLOFENAC INJ. 75MG/3ML (DUFENAC),Warehouse 3,82.35294118,Diclofenac injection 75mg (Dufenac inj)
DIAZEPAM TABS 10MG (ECL) 50 X 10'S,Warehouse 3,82.35294118,Lorazepam tab 1mg
CYCLOGEST OVULES 400MG 15'S,UK warehouse ,82.35294118,Cyclogest 400mg 15's
BETALOC 50MG TABS,Pzifer,82.35294118,Betaloczok 50mg Tabs 30's
AZITHROMYCIN (ZITMYC) TABS 500MG 3'S,Warehouse 3,82.35294118,Azithromycin tab 500mg(Zitmyc)
SYMBICORT INHALER 80/4.5UG 60 DOSES,Pzifer,82.60869565,Symbicort 80/4.5ug 60 Doses
SOMAZINA 1000MG/10ML SACHET,Pzifer,82.60869565,Somazina 1000mg- Oral 10ml
POLAR - OPEN ANKLE SUPPORT XL,Tena Warehouse ,82.60869565,Open Ankle Support (0031)
KEFROX SUSP 125MG/5ML 70ML,Warehouse 3,82.60869565,Zinnat susp 125mg/5ml 50ml
EPANUTIN CAPS 100MG 100'S,UK warehouse ,82.60869565,Gabapentin Tab 100mg 100's
AZITHROMYCIN SUSP 200MG/5ML UK,GSK Warehouse,82.60869565,Azithromycin tabs 500mg
XARELTO TABS 20MG,Pzifer,82.75862069,Xarelto 20mg Tab 14's
XARELTO TABS 10MG,Pzifer,82.75862069,Xarelto 10mg Tab 10's
VALUPAK VIT BCO TABS 60'S,Pzifer,82.75862069,Confido Tabs 60's
SIBI MEN CAPS 30'S,Warehouse 2 Syrup&Tab,82.75862069,Eskaron Caps 30's
PREGNACARE MAX CAPS 84'S,UK warehouse ,82.75862069,Flomax Caps 28's
PLENDIL TABS 10MG,Pzifer,82.75862069,Plendil 10mg Tabs 30's
ORELOX TABS 200MG,Pzifer,82.75862069,Orelox 200mg Tabs 10's
NORVASC TABS 10MG,Warehouse 2 Syrup&Tab,82.75862069,Salo C Tabs 100mg
MAXIDEX EYE OINT.,Pzifer,82.75862069,Maxidex Eye Drop 5ml
HYDREA (HYDROXYCARBAMIDE) 500MG CAPS 100'S,Pzifer,82.75862069,Galfer Caps 100's
FEMINAX EXPRESS TABS 342MG 8'S,UK warehouse ,82.75862069,Feminax Express 342mg Tab 8's
ENCEPHABOL TABS 100MG,Warehouse 2 Syrup&Tab,82.75862069,Salo C Tabs 100mg
DAFLON TABS 500MG,GSK Warehouse,82.75862069,Azithromycin tabs 500mg
CARDIOACE MAX CAPS 84'S,UK warehouse ,82.75862069,Flomax Caps 28's
ANUSOL SUPP 12'S,UK warehouse ,82.75862069,Anusol Suppository 12's
COLGATE T/P TOD BUBBLE FRUIT (2-5YRS) 50ML (66.5G),Warehouse 2 Syrup&Tab,82.85714286,Colgate TP Tod Bubble Fruit 50ml (66.5g)
SOLUBLE ASPIRIN TABS 75MG 100'S,Warehouse 2 Syrup&Tab,82.92682927,Glibenil Tabs 5mg 100'S
RIVATAS TAB 10MG 30'S,Pzifer,82.92682927,Claritine Tab 10mg 30's
PROMETHAZINE SYR 60ML (ECL),Warehouse 4,82.92682927,Promethazine Syrup (ECL)
NIGHT NURSE LIQUID 160ML,UK warehouse ,82.92682927,Day Nurse Liquid 240ml
NATRILIX SR TABS 1.5MG 30'S,Pzifer,82.92682927,Mosegor Tabs 0.5mg 30'S
LISINOPRIL TABS 5MG UK 28'S,Pzifer,82.92682927,Zestril Tabs 5mg 28's
LISINOPRIL TABS 2.5MG 28'S UK,UK warehouse ,82.92682927,Lisinopril 5mg Tabs 28's
CHLORPROMAZINE INJ 25MG/ML 1'S,Warehouse 3,82.92682927,Chlopromazine Injection
ACCU-CHEK INSTANT KIT,UK warehouse ,82.92682927,Accu check instants strip
FERROUS SULPHATE (FERSOLATE) TABS 28'S UK,Warehouse 2 Syrup&Tab,83.11688312,Ferrous Sulphate (Fersolate) 1000's (Letap)
VIAGRA TABS 50MG 4'S,UK warehouse ,83.33333333,Lopresor Tabs 50mg 40's
TANZOL SUSP.,Warehouse 4,83.33333333,Co-Trimoxazole Susp.(Phyto R.)
SWEDISH BITTERS TONIC,Warehouse 2 Syrup&Tab,83.33333333,Great Swedish Bitters
SALBUTAMOL TABS 4MG 500'S ECL,Warehouse 2 Syrup&Tab,83.33333333,Salbutamol Tabs ECL 50X10
ROBB OINTMENT 4G,Pzifer,83.33333333,Joy Ointment
PREGATAS CAPS 75MG,Pzifer,83.33333333,Pregasafe Caps 75mg
PIROXICAM CAPS 20MG 10X10'S (LUEX),Warehouse 2 Syrup&Tab,83.33333333,Piroxicam Caps ECL 10x10
OLANZAPINE TAB 5MG UK,GSK Warehouse,83.33333333,Olanzapine 5mg tabs (Ozitas)
NUFLAM (GLUCOSAMINE + CHONDROITIN) CAPS 30'S,Warehouse 2 Syrup&Tab,83.33333333,Cirotamin Caps 30's
NAZO OINTMENT 25G,Pzifer,83.33333333,Joy Ointment
LISTERINE M/W ORIGINAL 1.5L,UK warehouse ,83.33333333,Listerine Original  1.5L
LISTERINE M/W COOLMINT 250ML,UK warehouse ,83.33333333,Listerine Coolmint 250ml
FOLIC ACID BLISTER TABS 5MG 10'S,Pzifer,83.33333333,Tenox Tabs 5mg 30's
FLUCLOXACILLIN CAPS 500MG 28'S UK,UK warehouse ,83.33333333,Flucloxacillin 500mg Caps 28's
ELOCOM CREAM 30G,UK warehouse ,83.33333333,E45 Cream 350g
DUPHASTON TABS 10MG,Pzifer,83.33333333,MORPHINE SULPHATE TABS 10MG
DIABETMIN 500MG TABS 100'S,Warehouse 2 Syrup&Tab,83.33333333,Diabetmin Tabs
CARDITAS TABS 20MG RTD,Pzifer,83.33333333,Ladinas Tabs
AMARYL TABS 4MG 30'S,Pzifer,83.33333333,Lipitor Tabs 40mg 30's
ABC PARA SYRUP,Warehouse 4,83.33333333,Para Syrup (Letamol)
POLAR SHORT SURGICAL ELASTIC STOCKINGS XLARGE,Tena Warehouse ,83.58208955,Surgical Elastic Stockings (0034A)
COLGATE T/P BABY STRAWBERRY (0-2YRS) 50ML (66.5G),Warehouse 2 Syrup&Tab,83.58208955,Colgate TP Baby Strawberry 50ml(66.5g)
SINEMET PLUS TAB 100/25MG,UK warehouse ,83.72093023,Sinemet Plus 125mg Tab 100's
FLUCONAZOLE CAPS 150MG UK,UK warehouse ,83.72093023,Fluconazole 150mg Caps UK
ROBAXIN TABS 750MG,UK warehouse ,83.87096774,Robaxin 750mgTabs 100's
ORELOX TABS 100MG,Warehouse 2 Syrup&Tab,83.87096774,Salo C Tabs 100mg
NOSPA INJ 40MG/ML,Pzifer,83.87096774,No-Spa 40mg/ml Inj 25's
LEXOFEN SUSP 150ML,Warehouse 4,83.87096774,Brufen Susp 100ml
KOFFEX ADULT EXPECTORANT SYR 125ML,Warehouse 2 Syrup&Tab,83.87096774,Koffex Adult Syrup
DOXAZOSIN TABS 4MG,UK warehouse ,83.87096774,Doxazosin 4mg Tab 28's
DIGOXIN TAB 125MCG,UK warehouse ,83.87096774,Digoxin 125mg Tabs 28's
ANUSOL CREAM 23G,Pzifer,83.87096774,Betasol  Cream 30g
TRANEXAMIC ACID INJ 500MG/5ML,UK warehouse ,84,Tranexamic Acid 500mg Tabs 60's
RISPERIDONE TAB 2MG (RISDONE ),GSK Warehouse,84,Risperidone 2mg (Risdone)
PROMETHAZINE INJ 50MG/2ML,Warehouse 3,84,Promethazine HCL Inj 50mg/2ml
EXFORGE HCT TAB 10/320/25MG,Pzifer,84,Exforge Tab 10/160/25mg 28's
DICLO-DENK TABS 100MG RTD,Pzifer,84,Nifedi-Denk Tabs 10mg Rtd 100'S
TIGER SPRAY,UK warehouse ,84.21052632,Glyceryl Trinitrate Spray
PARIET TABS 20MG 14'S,Pzifer,84.21052632,Nexium Tabs 20mg 14'S
NBF GINGIVAL GEL 30G,Pzifer,84.21052632,NBF Gel 30g
MILK OF MAGNESIA 360ML (STARWINS),Warehouse 4,84.21052632,Milk of Magnes (Starwins 120ml S/s)
MILK OF MAGNESIA 120ML (STARWINS),Warehouse 4,84.21052632,Milk of Magnes (Starwins 120ml S/s)
LYDIA POST PILL TABS,Pzifer,84.21052632,Pilex Tabs
IDEOS CHEWABLE TABS,Pzifer,84.21052632,IDeos 30 Chewable Tablets
GLUCOLIFE PLAIN 400G(ECL),Warehouse 2 Syrup&Tab,84.21052632,Glucolife  Plain (ECL)
G V PAINT 60ML,Mixtures,84.21052632,G.V. Paint
G V PAINT 30ML,Mixtures,84.21052632,G.V. Paint
ENAT CAPS 400IU 30'S,Warehouse 4,84.21052632,Leena Caps
DOXAZOSIN TABS 1MG 28'S,Pzifer,84.21052632,Diovan Tabs 160mg 28's
DEXTROSE 5% INFUSION 500ML,Warehouse 4,84.21052632,Honey 500ml
DEXATROL EYE/EAR DROP,Pzifer,84.21052632,Se'Clear Eye/Ear Drops
CIPRINOL TABS 500MG 10'S,Pzifer,84.21052632,Ciprobay Tabs 500mg
CANESTEN 1% CREAM 20G,UK warehouse ,84.21052632,Canesten Cream 20gm
AERIUS SUSP 0.5MG/ML 60ML,Pzifer,84.21052632,Aerius Tabs
ABIDEC MULTIVITAMIN SYR 150ML,Warehouse 4,84.21052632,BX Vitamin Syr  100ml
GRISEOFULVIN SUSP (OSONS),Warehouse 4,84.44444444,Griseofulvin Suspension (Green)Osons
CHLORPROMAZINE TAB 100MG 28'S,UK warehouse ,84.44444444,Sertraline Tab 100mg 28's
AMLODIPINE (ASOMEX) 2.5MG TABS 30'S,Pzifer,84.44444444,Amlodipine 2.5MG ( ASOMEX)
TRAMADOL CAPS 50MG  (KRKA),Pzifer,84.61538462,Tramadol Caps 50mg 20's (Krka)
SILDIAZINE (SILVER SULFADIAZINE) CREAM 50G,UK warehouse ,84.61538462,E45 Cream 350g
PENICILLIN V TABS 125MG 100X10'S (LETAP),Pzifer,84.61538462,Penicillin Oint
LISTERINE M/W FRESHBURST 500ML,UK warehouse ,84.61538462,Listerine Freshburst 250ml
LISTERINE M/W FRESHBURST 250ML,UK warehouse ,84.61538462,Listerine Freshburst 250ml
ADOM KOO OINT,Pzifer,84.61538462,Adom Kooko Oint
ADOM KOO CAPS,Pzifer,84.61538462,Adom Kooko Caps
ACRETIN 0.05% CREAM 30G,UK warehouse ,84.61538462,E45 Cream 350g
PERMANET MOSQUITOE NET (RECTANGULAR SINGLE),Warehouse 2 Syrup&Tab,84.74576271,Permanet Mos (Rectangular Single)
PERMANET MOSQUITOE NET (RECTANGULAR DOUBLE),Warehouse 2 Syrup&Tab,84.74576271,Permanet Mos (Rectangular Double)
TEGRETOL SUSP 2% 100ML,UK warehouse ,84.84848485,Tegretol Susp 100ml
TALGENTIS (TADALAFIL) TABS 5MG 30'S,Pzifer,84.84848485,Tenox Tabs 5mg 30's
POLAR SHORT SURGICAL ELASTIC STOCKINGS SMALL,Tena Warehouse ,84.84848485,Surgical Elastic Stockings (0034A)
NEXIUM SATCHET 10MG,Pzifer,84.84848485,Nexium 10mg Satchet
NEUROMIN PLUS TABS 30'S,UK warehouse ,84.84848485,Neuromind Plus 56's
GAVISCON SUSP PEPPERMINT 150ML,UK warehouse ,84.84848485,Gaviscon Susp 150ml
GAVISCON SUSP ORG ANISEED 150ML,UK warehouse ,84.84848485,Gaviscon Susp 150ml
GAVISCON SUSP DOUBLE ACTION 150ML - MINT,UK warehouse ,84.84848485,Gaviscon Susp 150ml
DIABETONE PLUS CAPS,Pzifer,84.84848485,Diabetone Caps( INDIA)
DAONIL TABS 5MG 30'S,Pzifer,84.84848485,Tenox Tabs 5mg 30's
BISOPROLOL TABS 5MG,UK warehouse ,84.84848485,Bisoprolol 5mg Tabs 28's
TAMSULOSIN CAPS 400MCG,UK warehouse ,85,Tamsulosin Caps 30's 400mcg
COLDRILIF CAPS 10X10'S,Pzifer,85,Cold Rilif Tab 10x10
AMLODIPINE (ASOMEX) 5MG TABS 30'S,Pzifer,85,Asomex 5mg Caps 30's
VOLTAREN TABS 100MG 100'S,UK warehouse ,85.10638298,Thiamine Tabs 100mg 100's
MULTIVITAMIN SYRUP AYRTONS,Warehouse 2 Syrup&Tab,85.10638298,Multivitamin Syrup Boxed Ayrtons
CIPROFLOXACIN 500MG 10'S UK,UK warehouse ,85.10638298,Ciprofloxacin 500mg Tabs 10's UK
TRAMADOL CAPS 100MG  (KRKA),Pzifer,85.18518519,Tramadol Caps 100mg 30's (Krka)
NO.10 LIVER SALT LEMON 50'S,Warehouse 2 Syrup&Tab,85.18518519,No. 10 Liver Salt Plain 50'S
GALVUSMET TAB 50/1000MG 60'S,Pzifer,85.18518519,Galvus Met 50mg/1000mg 60'S
DIAZEPAM TABS 5MG (ECL) 50X10'S,Warehouse 2 Syrup&Tab,85.18518519,Bendrofluazide Tabs 5mg ECL 50x10's
COTRIMOXAZOLE TAB (LETAP) 10'S,Warehouse 2 Syrup&Tab,85.18518519,Cotrimoxazole Tab 100x10 Letap
RS29895 ROUSHUN ALOE VERA SOAP 125G,UK warehouse ,85.24590164,Roshun Aloe Vera Soap 125g (29895)
ATACAND PLUS TABS 16/12.5MG 28'S,Pzifer,85.24590164,Zycard Plus Tabs 16/12.5mg  30's
LETAVIN TABS (GRISEOFULVIN) 500MG 10X10'S,Warehouse 2 Syrup&Tab,85.36585366,Letavin Tabs (Grisevin-Letap) 500mg 100's
VISCOF EXPECTORANT SYR (PLAIN) 100ML,Warehouse 4,85.71428571,Viscof Syr (Plain) 100ml
TOBREX EYE OINT. 3.5G,Pzifer,85.71428571,Tobrex Eye Drops
ROBITUSSIN CHESTY COUGH SYR 100ML,Warehouse 4,85.71428571,Koflet Cough Syr 100ml
PIRITON SYRUP 150ML,Warehouse 4,85.71428571,Coldiron Syrup 125ml
"PERFECTIL TRIPLE ACTIVE SKIN,HAIR & NAILS CAPS 30'S",UK warehouse ,85.71428571,Ziliv Caps 30's
NUROFEN MIGRAINE PAIN TABS,Warehouse 2 Syrup&Tab,85.71428571,Panacin Tabs
NIFECARD XL TAB 30MG,Pzifer,85.71428571,Nifecard XL 30mg
MEDROL TABS 4MG 30'S,Pzifer,85.71428571,Medrol Tabs 30's
MALIN JUNIOR COUGH SYR,Warehouse 2 Syrup&Tab,85.71428571,Samalin Jnr Cough Syr
MALIN BABY COUGH SYR,Warehouse 2 Syrup&Tab,85.71428571,Luex Baby  Cough Syr
KLIRE PAIN TABS,Warehouse 2 Syrup&Tab,85.71428571,Panacin Tabs
FML NEO-LIQUIFILM EYE DROPS,Pzifer,85.71428571,Timol Eye Drops
FEROGLOBIN BABY DROP 30ML,Pzifer,85.71428571,Feroglobin Caps
FEROGLOBIN BABY DROP (4-24MNTH) 30ML,Pzifer,85.71428571,Feroglobin Caps
FEBUDAY TAB 40MG,Pzifer,85.71428571,Febuday 40mg Tab
DICLOFENAC SUPP 100MG (REYOUNG),Warehouse 3,85.71428571,Diclofenac Suppository 100mg
DIABETONE TABS 30'S INDIA,Warehouse 2 Syrup&Tab,85.71428571,Diabetmin Tabs
DETTOL SOAP COOL 160G,UK warehouse ,85.71428571,Dettol Soap 100g
DANNEX CALAMINE OINTMENT 15% 40G,Pzifer,85.71428571,Calamine Ointment Bpc
DALACIN C CAPS 150MG,Pzifer,85.71428571,Dalacin C Caps  300mg 16's
COLGATE T/B 2 IN 1 DOUBLE ACTION,Warehouse 2 Syrup&Tab,85.71428571,Colgate TB Double Action Medium 12's
ATORVASTATIN TAB 40MG UK,UK warehouse ,85.71428571,Atorvastatin 40mg Tab 28's
ATORVASTATIN TAB 20MG UK,UK warehouse ,85.71428571,Atorvastatin 20mg Tab 28's
ASTYFER SYRUP,Warehouse 2 Syrup&Tab,85.71428571,Cyfen Syrup
VITADOX VIT C + VIT. D + ZINC EFF 20'S,GSK Warehouse,86.20689655,Vitadox Vit c+Vit D +Zinc 20s
BASIC NUTRITION GINKGO BILOBA 6000MG 30'S,UK warehouse ,86.20689655,BN Gingko Biloba 600mg Tab 30's
AMPICILLIN CAPS 250MG (LETAP),Warehouse 2 Syrup&Tab,86.2745098,Ampicillin Caps 250mg 500's (Letap)
SAVLON ANTISEPTIC 250ML ORANGE,Warehouse 4,86.36363636,Camel Antiseptic 250ml
SAVLON ANTISEPTIC 125ML ORANGE,Warehouse 4,86.36363636,Camel Antiseptic 125ml
DIAMICRON MR TABS 30MG 28'S,Pzifer,86.36363636,Diamicron 60mg Tabs 30's
CALPOL SALINE DROP 10ML,UK warehouse ,86.36363636,Calpol Nasal Drop 10ml
00120-DR SAN VARICOSE STOCKING ABOVE KNEE XL,Tena Warehouse ,86.36363636,Varicose Stocking Long
ZINCOLAC B CAPS 30'S,Warehouse 2 Syrup&Tab,86.48648649,Zincolac B Caps(3*10's)
XYLO ACINO ADULT NASAL SPRAY 0.1%,Pzifer,86.48648649,Xylo Acino 0.1% Adult
FLOTAC CAPS 75MG 20'S,Pzifer,86.48648649,Naklofen Duo Caps 75mg 20's
CLOPIDOGREL TABS 75MG,UK warehouse ,86.48648649,Clopidogrel 75mg Tab 28's
CIPROFLOXACIN EYE/EAR DROP (CIPRICOM),GSK Warehouse,86.48648649,Ciprofloxacin eye drop 0.3% (CIPRICOM)
CEBROTONIN TABS 800MG,Pzifer,86.48648649,Cebrotonin 800mg 30's
ASPIRIN CARDIO TABS 100MG 30'S,Pzifer,86.48648649,Tenox Tabs 10mg 30's
XALATAN EYE DROPS,Pzifer,86.66666667,Ciloxan Eye Drops
WORMBAT TAB 400MG,Warehouse 2 Syrup&Tab,86.66666667,Wormbat 400mg Tab
SPERTONIC TAB 30'S,Warehouse 3,86.66666667,Spertonic tablets
RAMIPRIL TAB 10MG,UK warehouse ,86.66666667,Ramipril 10mg Tab 28's
PROSTEZ CAPS 30'S,Warehouse 2 Syrup&Tab,86.66666667,Vigorix Forte Caps 30's
POLYFER CAPS 30'S,Warehouse 2 Syrup&Tab,86.66666667,Nexcofer Caps 30s
MULTIVITAMIN TABS 10X100'S(P'NOVA),Warehouse 2 Syrup&Tab,86.66666667,Multivitamin Tabs (P'nova) Blister
LORAZEPAM 2MG 100'S (CENT),Warehouse 3,86.66666667,Lorazepam tab 2mg
LORAZEPAM 1MG 100'S (CENT),Warehouse 3,86.66666667,Lorazepam tab 1mg
KAMAGRA 50MG TABS,Pzifer,86.66666667,Kamagra 50MG 1x4's
JOINTACE ORIGINAL CHONDRIOTIN & GLUCOSAMINE CAPS 30'S,Warehouse 2 Syrup&Tab,86.66666667,Zinvite Caps 30's
EUCRYL TOOTH POWDER FRESHMINT 50G,UK warehouse ,86.66666667,Eucryl Tooth Pd Fresh Mint 50g
DONEPEZIL TAB 5MG,UK warehouse ,86.66666667,Donepezil 5mg 28's
CRESTOR TAB 5MG,UK warehouse ,86.66666667,Lopresor Tabs 50mg 40's
BONJELA ADULT GEL,UK warehouse ,86.66666667,Bonjela Gel Adult
INDOMETHACIN CAPS 25MG (LETAP),Warehouse 2 Syrup&Tab,86.79245283,Indomethacin Caps 25mg  Blist.(Letap)
AMOXYCILLIN CAPS 250MG (LETAP),Warehouse 2 Syrup&Tab,86.79245283,Amoxycillin Caps 250mg 10x50's (GR)
AMOXYCILLIN CAPS 250MG (ESKAY),Warehouse 2 Syrup&Tab,86.79245283,Amoxycillin Caps 250mg 10x50's (GR)
ALWAYS MAXI THICK EXTRA LONG 7'S (SKE),Warehouse 2 Syrup&Tab,86.84210526,Always Maxi Thick 14's Extra Long (Ske)
WELLMAN PLUS OMEGA 3.6.9 CAPS 56'S,UK warehouse ,86.95652174,BN Omega 3.6.9 Caps 30's
SILDENAFIL TAB 50MG 8'S,UK warehouse ,86.95652174,Sildenafil Tabs 25mg 4's
LOSARTAN TABS 25MG 28'S UK,UK warehouse ,86.95652174,Losartan Tab 100mg 28's
KAMACLOX M/W,Warehouse 4,86.95652174,Kamaclox  Mouthwash
GLIBETICS TABS 5MG 100'S,Warehouse 2 Syrup&Tab,86.95652174,Glibenil Tabs 5mg 100'S
FOLIC ACID TABS UK 28'S,UK warehouse ,86.95652174,Folic Acid Tabs 5mg 28's
CALPOL SALINE SPRAY 15ML,UK warehouse ,86.95652174,Calpol Nasal Spray 15ml
AND BP MONITOR UA-1020W,Pzifer,86.95652174,Digital BP Monitor (UA -1020-W)
WELLTEEN HIM TABS 30'S,Pzifer,87.17948718,Wellteen Him 30's Tabs
S/SEAS HALIBORANGE SYRUP 250ML,Warehouse 4,87.17948718,Cororange Syrup 200ml
S/SEAS C.L.O CAPS 60'S,Pzifer,87.17948718,S/seas C.L.O 60'S (ONE A DAY) YELLOW
NATRIXAM TABS 1.5/10MG,Pzifer,87.17948718,Natrixam 1.5/10mg 30's
LARIAM TABS 250MG 8'S,UK warehouse ,87.17948718,Citalopram Tabs 20mg 28's
DONEPEZIL TAB 10MG 28'S,Pzifer,87.17948718,Zestril Tabs 10mg 28's
CHLORPHENIRAMINE TAB 4MG 10'S,UK warehouse ,87.17948718,Avomine Tab 25mg 10's
WELLWOMAN MAX CAPS 84'S,Pzifer,87.5,Wellwoman Max 84's
VITAL X HAEMATINIC SYRUP 200ML,Warehouse 2 Syrup&Tab,87.5,NCP 200ml
TUSSIPAN COUGH SYRUP 200ML,Warehouse 2 Syrup&Tab,87.5,NCP 200ml
STOMOCAINE SUSP 200ML,Warehouse 2 Syrup&Tab,87.5,NCP 200ml
SAVLON DISINF/ANTISE 500ML ORANGE,Warehouse 4,87.5,Savlon Disinfectant 500ml Orange
S/SEAS HALIBORANGE SYRUP 300ML,Warehouse 4,87.5,Galfer Syrup 300ml
S/SEAS C.L.O SYRUP 100ML,Warehouse 4,87.5,NCP 100ml
REFRESH TEARS EYE DROPS 15ML,Pzifer,87.5,Refresh Tears 15ml
RAMIPRIL TAB 2.5MG,UK warehouse ,87.5,Ramipril 2.5mg Tab 28's
PLENDIL TABS 5MG,Warehouse 2 Syrup&Tab,87.5,Glibenil Tabs 5mg 100'S
PIOGLITAZONE TABS 15MG UK,UK warehouse ,87.5,Pioglitazone Tabs 30mg 28's
PEPTO BISMOL SUSPENSION 100ML,Warehouse 4,87.5,NCP 100ml
PANADOL BABY & INFANT SUSP 100ML,Warehouse 4,87.5,NCP 100ml
NOVACOLD TABS 4'S,Warehouse 2 Syrup&Tab,87.5,Novacold  Tabs 50*4
L MONTUS KIDS TABS,Warehouse 2 Syrup&Tab,87.5,L Montus Kids 10's
KISS CONDOMS 3'S,Pzifer,87.5,Durex Classic Condoms 3's
